/* Index,filename,t_relative,t_clock
0,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_000.bmp,0.0000,2021.02.11 03:20:58.648
1,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_001.bmp,0.0716,2021.02.11 03:20:58.720
2,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_002.bmp,0.1433,2021.02.11 03:20:58.791
3,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_003.bmp,0.2150,2021.02.11 03:20:58.863
4,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_004.bmp,0.2867,2021.02.11 03:20:58.935
5,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_005.bmp,0.3583,2021.02.11 03:20:59.006
6,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_006.bmp,0.4300,2021.02.11 03:20:59.078
7,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_007.bmp,0.5017,2021.02.11 03:20:59.150
8,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_008.bmp,0.5733,2021.02.11 03:20:59.221
9,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_009.bmp,0.6450,2021.02.11 03:20:59.293
10,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\live2_010.bmp,0.7883,2021.02.11 03:20:59.436
