/* Index,filename,t_relative,t_clock
0,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_000.bmp,0.0000,2021.02.11 03:21:34.052
1,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_001.bmp,0.0717,2021.02.11 03:21:34.123
2,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_002.bmp,0.1433,2021.02.11 03:21:34.195
3,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_003.bmp,0.2150,2021.02.11 03:21:34.267
4,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_004.bmp,0.2867,2021.02.11 03:21:34.338
5,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_005.bmp,0.3583,2021.02.11 03:21:34.410
6,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_006.bmp,0.4300,2021.02.11 03:21:34.482
7,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_007.bmp,0.5017,2021.02.11 03:21:34.553
8,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_008.bmp,0.5733,2021.02.11 03:21:34.625
9,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_009.bmp,0.6450,2021.02.11 03:21:34.697
10,C:\Users\LSA\Box\MURI-SARA\Thermoreflectance\diode_temp_calib\Thermorefl\1ms\95A\dark2_010.bmp,0.7884,2021.02.11 03:21:34.840
